# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	16526
#@/user_id	windows11-caoayu-pc-i512400
a 	啊	c=99 d=2.19152 t=16526
mei dian nao 	没电脑	c=1 d=8.21129e-06 t=16526
mei dong 	没动	c=2 d=0.0652193 t=16526
mei duo shao 	没多少	c=1 d=0.172907 t=16526
mei duo shao ren 	没多少人	c=1 d=0.287941 t=16526
mei fa 	没法	c=6 d=0.51908 t=16526
mei fan chi 	没饭吃	c=1 d=0.216536 t=16526
mei fan ying 	没反应	c=3 d=0.235746 t=16526
mei ge 	每个	c=3 d=0.0018734 t=16526
mei guan xi 	没关系	c=2 d=0.00394621 t=16526
mei guo 	没过	c=2 d=0.00552423 t=16526
mei guo 	美国	c=2 d=0.00555187 t=16526
mei hui 	没回	c=1 d=0.0488012 t=16526
mei ji ge 	没几个	c=1 d=3.14405e-06 t=16526
mei jia 	每家	c=2 d=0.302704 t=16526
mei jia 	没加	c=5 d=0.172937 t=16526
mei jian mian 	没见面	c=1 d=0.000459671 t=16526
mei jing yan 	没经验	c=1 d=1.19783e-06 t=16526
mei ju hua 	每句话	c=1 d=4.71388e-06 t=16526
mei kai 	没开	c=3 d=0.37371 t=16526
mei kai men 	没开门	c=1 d=0.327915 t=16526
mei kai xue 	没开学	c=1 d=4.51966e-11 t=16526
mei kan 	没看	c=2 d=0.156453 t=16526
mei kan guo 	没看过	c=1 d=0.878095 t=16526
mei kong 	没空	c=2 d=0.427861 t=16526
mei lai 	没来	c=2 d=0.00080126 t=16526
mei le 	没了	c=6 d=0.00401628 t=16526
mei mai 	没买	c=1 d=0.245367 t=16526
mei mai dao 	没买到	c=1 d=0.154124 t=16526
mei ne 	美呢	c=1 d=6.80682e-05 t=16526
mei ni 	没你	c=1 d=1.25339e-10 t=16526
mei ni 	煤泥	c=1 d=1.24714e-10 t=16526
mei nian 	每年	c=1 d=0.000527382 t=16526
mei nian hui 	每年会	c=1 d=0.00530026 t=16526
mei pai 	没牌	c=1 d=1.01809e-05 t=16526
mei qian 	没钱	c=7 d=0.946485 t=16526
mei qu guo 	没去过	c=1 d=0.000256085 t=16526
mei ren 	媒人	c=1 d=3.15165e-05 t=16526
mei ren 	没人	c=4 d=0.904663 t=16526
mei sha 	没啥	c=6 d=0.0316771 t=16526
mei sha shi 	没啥事	c=1 d=0.00226541 t=16526
mei she zhi cheng 	没设置成	c=1 d=0.0118551 t=16526
mei shen me 	没什么	c=1 d=0.346456 t=16526
mei shi 	没事	c=14 d=0.722527 t=16526
mei shi 	没试	c=1 d=2.30082e-09 t=16526
mei shi jian 	没时间	c=2 d=6.96663e-10 t=16526
mei shuo 	没说	c=2 d=0.0324614 t=16526
mei tian 	每天	c=2 d=0.690734 t=16526
mei tian 	没填	c=1 d=8.17034e-06 t=16526
mei ting 	没听	c=1 d=1.3821e-13 t=16526
mei ting guo 	没听过	c=2 d=0.0808629 t=16526
mei ting shuo 	没听说	c=1 d=0.00148848 t=16526
mei tu 	没图	c=1 d=0.00551656 t=16526
mei tuan 	美团	c=1 d=0.00631391 t=16526
mei wen ti 	没问题	c=5 d=0.865135 t=16526
mei xi 	没洗	c=1 d=0.0350844 t=16526
mei xi tou 	没洗头	c=1 d=0.000325548 t=16526
mei xiang hao 	没想好	c=2 d=0.111919 t=16526
mei xie 	没写	c=1 d=0.0100518 t=16526
mei xing 	没醒	c=1 d=0.0381969 t=16526
mei yang yang 	美羊羊	c=1 d=8.56707e-05 t=16526
mei yi si 	没意思	c=1 d=0.318224 t=16526
mei yong 	没用	c=3 d=0.591555 t=16526
mei yong guo 	没用过	c=2 d=0.0387742 t=16526
mei you 	没有	c=50 d=1.18029 t=16526
mei you zuo 	没有作	c=1 d=5.60089e-05 t=16526
mei yue 	每月	c=2 d=0.272532 t=16526
mei zai 	没在	c=1 d=0.26982 t=16526
mei zhao dao 	没找到	c=2 d=0.121846 t=16526
mei zi 	妹子	c=1 d=0.349938 t=16526
mei zou 	没走	c=2 d=0.0746459 t=16526
mei zuo 	没做	c=1 d=0.00023056 t=16526
mei zuo gua o 	没做挂哦	c=1 d=3.44845e-05 t=16526
men 	们	c=4 d=0.094739 t=16526
men 	门	c=1 d=0.0558548 t=16526
men pai hao 	门牌号	c=1 d=0.733447 t=16526
meng 	懵	c=2 d=0.366282 t=16526
meng 	猛	c=1 d=0.208045 t=16526
meng 	蒙	c=1 d=0.00456197 t=16526
mi 	米	c=1 d=0.000251014 t=16526
mi 	迷	c=1 d=0.000130387 t=16526
mi fan 	米饭	c=1 d=0.00210172 t=16526
mi gong 	迷宫	c=1 d=0.000116223 t=16526
mi jin 	迷津	c=1 d=1.67506e-10 t=16526
mi le 	迷了	c=1 d=0.151072 t=16526
mi ma 	密码	c=13 d=1.10486 t=16526
mi men 	迷们	c=1 d=9.16921e-10 t=16526
mi mi ma ma 	密密麻麻	c=0 d=1.16905e-15 t=16526
mi yao 	密钥	c=1 d=1.62893e-05 t=16526
mian 	面	c=2 d=0.543351 t=16526
mian ao 	棉袄	c=1 d=5.18366e-06 t=16526
mian ban 	面板	c=4 d=2.30556e-05 t=16526
mian fei 	免费	c=10 d=1.13343 t=16526
mian ji 	面积	c=1 d=0.479505 t=16526
mian shen 	免审	c=7 d=0.359083 t=16526
mian shen 	面审	c=1 d=0.000784864 t=16526
mian shi 	面试	c=2 d=1.73442 t=16526
mian shi guan 	面试官	c=1 d=0.194952 t=16526
mian shi ti 	面试题	c=1 d=8.3786e-08 t=16526
mian xiang 	面向	c=1 d=0.0837432 t=16526
miao 	描	c=1 d=1.79127e-05 t=16526
miao 	秒	c=2 d=0.0160829 t=16526
miao 	苗	c=1 d=1.77345e-05 t=16526
miao shu 	描述	c=3 d=0.447088 t=16526
miao xiang 	妙想	c=1 d=0.0773047 t=16526
miao xiang 	秒享	c=2 d=0.157735 t=16526
mie you 	咩有	c=1 d=4.63171e-05 t=16526
min li 	民利	c=0 d=0.000278085 t=16526
min li gao in gao 	民利告㏌告	c=1 d=0.00279479 t=16526
min yao 	民谣	c=1 d=0.0916297 t=16526
min zu 	民族	c=2 d=0.00556226 t=16526
ming 	名	c=11 d=0.65821 t=16526
ming bai 	明白	c=1 d=0.0221482 t=16526
ming ling 	命令	c=13 d=1.90547 t=16526
ming ling hang 	名领航	c=1 d=3.34074e-14 t=16526
ming ling hang 	命令行	c=3 d=6.27216e-08 t=16526
ming ming 	命名	c=4 d=0.469164 t=16526
ming nian 	明年	c=1 d=0.00286554 t=16526
ming que 	明确	c=1 d=0.00029902 t=16526
ming tai 	明台	c=0 d=0.0634448 t=16526
ming tan 	名坛	c=1 d=0.00618889 t=16526
ming tian 	明天	c=13 d=0.883011 t=16526
ming zi 	名字	c=3 d=0.170052 t=16526
mo ban 	模版	c=24 d=3.58745 t=16526
mo fei 	莫非	c=1 d=1.13411e-10 t=16526
mo hu 	模糊	c=2 d=0.00366107 t=16526
mo kuai 	模块	c=1 d=0.104874 t=16526
mo ni 	模拟	c=1 d=1.59668e-05 t=16526
mo ren 	默认	c=6 d=0.011915 t=16526
mo shi 	模式	c=21 d=0.276962 t=16526
mo yu 	摸鱼	c=1 d=0.00775048 t=16526
mou ge 	某个	c=1 d=0.00628242 t=16526
mou mou mou 	某某某	c=0 d=1.16905e-15 t=16526
mou mou mou mou mou mou mou mou mou mi mi ma ma 	某某某某某某某某某密密麻麻	c=1 d=1.17491e-14 t=16526
mou xie 	某些	c=2 d=0.0153752 t=16526
mou yi ge 	某一个	c=1 d=0.0144798 t=16526
mou yi zhong 	某一种	c=1 d=2.47319e-06 t=16526
mu biao 	目标	c=1 d=1.93078e-05 t=16526
mu di 	目的	c=3 d=3.21145e-14 t=16526
mu ji 	母鸡	c=1 d=1.20987e-06 t=16526
mu ling 	暮龄	c=1 d=1.85508e-05 t=16526
mu lu 	目录	c=12 d=0.0746765 t=16526
mu qian 	目前	c=4 d=0.671142 t=16526
na 	哪	c=8 d=0.479505 t=16526
na 	拿	c=8 d=0.785801 t=16526
na 	那	c=55 d=1.58194 t=16526
na bian 	那边	c=7 d=0.496704 t=16526
na bu 	那不	c=0 d=0.00555762 t=16526
na bu ru 	那不如	c=1 d=0.0558548 t=16526
na bu shi 	那不是	c=1 d=0.084163 t=16526
na duo hao 	那多好	c=1 d=0.367879 t=16526
na gan jin 	那赶紧	c=1 d=0.00416933 t=16526
na ge 	哪个	c=23 d=1.58604 t=16526
na ge 	那个	c=48 d=2.75741 t=16526
na ge ren 	那个人	c=1 d=0.064894 t=16526
na guo 	哪国	c=1 d=2.81702e-08 t=16526
na guo 	拿过	c=1 d=0.000293099 t=16526
na hai hao 	那还好	c=1 d=3.10473e-05 t=16526
na hui 	那会	c=1 d=0.0131675 t=16526
na jiu 	那就	c=15 d=0.872879 t=16526
na jiu hai yao 	那就还要	c=1 d=0.131994 t=16526
na jiu shi 	那就是	c=2 d=0.0439369 t=16526
na ke neng 	那可能	c=2 d=0.697676 t=16526
na ke yi 	那可以	c=1 d=5.48998e-05 t=16526
na kuai 	哪块	c=2 d=0.86131 t=16526
na kuai 	那块	c=1 d=0.116484 t=16526
na lai 	哪来	c=2 d=0.381346 t=16526
na li 	哪里	c=2 d=0.0520787 t=16526
na lia 	那俩	c=2 d=0.371577 t=16526
na me 	那么	c=7 d=0.389821 t=16526
na me duo 	那么多	c=1 d=0.010889 t=16526
na mei shi 	那没事	c=1 d=2.47917e-05 t=16526
na ni 	那你	c=14 d=0.83527 t=16526
na qu 	拿去	c=1 d=0.000143382 t=16526
na ren 	那人	c=1 d=0.509156 t=16526
na shang mian 	哪上面	c=1 d=0.110803 t=16526
na shi 	那是	c=5 d=0.17465 t=16526
na shi hou 	那时候	c=2 d=0.00301245 t=16526
na shou 	哪首	c=2 d=1.43924e-10 t=16526
na tian 	哪天	c=2 d=0.285076 t=16526
na tian 	那天	c=2 d=0.00033379 t=16526
na wo 	那我	c=9 d=0.752014 t=16526
na wo men 	那我们	c=1 d=0.0483156 t=16526
na xie 	拿些	c=1 d=0.000368894 t=16526
na xie 	那些	c=11 d=0.6381 t=16526
na yang 	那样	c=1 d=4.18226e-10 t=16526
na yao 	那要	c=2 d=0.0629761 t=16526
na ye 	那也	c=3 d=0.484325 t=16526
na yi bu 	那一步	c=1 d=0.254107 t=16526
na yi ju 	那一句	c=1 d=0.0381969 t=16526
na yi tao 	那一套	c=2 d=0.00168836 t=16526
na you 	哪有	c=4 d=0.0643421 t=16526
na zhong 	那种	c=6 d=0.413172 t=16526
na zhong gen 	那种跟	c=1 d=1.19474e-05 t=16526
nai he 	奈何	c=1 d=3.37374e-12 t=16526
nan 	南	c=1 d=0.491644 t=16526
nan 	男	c=10 d=1.93115 t=16526
nan 	难	c=1 d=0.254107 t=16526
nan dao 	难道	c=1 d=0.0695994 t=16526
nan fang 	南方	c=2 d=0.676106 t=16526
nan gua 	南瓜	c=2 d=0.023067 t=16526
nan kai 	南开	c=1 d=0.0544757 t=16526
nan kan 	难看	c=1 d=0.271173 t=16526
nan mo 	男模	c=1 d=8.27241e-05 t=16526
nan nong 	南农	c=1 d=2.62113e-13 t=16526
nan shou 	难受	c=3 d=0.00017252 t=16526
nan suan 	难算	c=1 d=0.00298248 t=16526
nan yi 	难以	c=1 d=5.47674e-06 t=16526
nan yu 	南羽	c=1 d=1.25296e-06 t=16526
nao 	闹	c=1 d=0.00932553 t=16526
nao gong neng 	脑功能	c=1 d=1.51907e-07 t=16526
ne 	呢	c=38 d=2.44915 t=16526
ne ge 	呢个	c=0 d=0.0336216 t=16526
ne mao 	呢帽	c=0 d=2.56879e-12 t=16526
nei 	内	c=4 d=0.0590129 t=16526
nei bu 	内部	c=2 d=0.00132016 t=16526
nei cun 	内存	c=3 d=0.0983075 t=16526
nei rong 	内容	c=15 d=1.23495 t=16526
nei shang 	内伤	c=2 d=1.04727e-05 t=16526
nei zhi 	内置	c=2 d=0.847894 t=16526
neng 	能	c=40 d=3.14646 t=16526
neng bu neng 	能不能	c=7 d=0.214748 t=16526
neng chi 	能吃	c=0 d=0.000210172 t=16526
neng gou 	能够	c=1 d=1.08927e-06 t=16526
neng huo 	能活	c=0 d=0.0559898 t=16526
neng huo guo 	能活过	c=1 d=0.562705 t=16526
neng li 	能力	c=3 d=0.00811504 t=16526
neng mai 	能卖	c=1 d=0.178173 t=16526
neng shuo 	能说	c=1 d=0.000221519 t=16526
neng yong 	能用	c=3 d=0.549112 t=16526
neng you 	能有	c=1 d=0.0105145 t=16526
ni 	你	c=71 d=2.93145 t=16526
ni ba 	你把	c=3 d=0.84407 t=16526
ni ba 	你爸	c=1 d=0.588605 t=16526
ni bi 	你比	c=1 d=0.778801 t=16526
ni bu jue de 	你不觉得	c=1 d=0.332871 t=16526
ni bu shi 	你不是	c=4 d=0.404542 t=16526
ni bu shuo 	你不说	c=1 d=0.00111378 t=16526
ni cheng 	昵称	c=2 d=0.00282287 t=16526
ni dao shi 	你倒是	c=1 d=0.00501661 t=16526
ni de 	你的	c=4 d=0.968511 t=16526
ni di 	你弟	c=1 d=1.5468e-14 t=16526
ni dou 	你都	c=1 d=2.08995e-10 t=16526
ni dou shi 	你都是	c=1 d=2.70749e-12 t=16526
ni gan 	你敢	c=0 d=0.0316637 t=16526
ni gan jue 	你敢觉	c=1 d=0.318224 t=16526
ni ge 	你个	c=1 d=0.0026852 t=16526
ni gei ta 	你给他	c=1 d=0.000252273 t=16526
ni gen 	你跟	c=2 d=0.677057 t=16526
ni gen wo 	你跟我	c=1 d=0.718924 t=16526
ni hai 	你还	c=0 d=1.50861e-15 t=16526
ni hai shi 	你还是	c=1 d=0.0023461 t=16526
ni hai yao 	你还要	c=1 d=1.51618e-14 t=16526
ni hao 	你好	c=9 d=0.995172 t=16526
ni hui 	你会	c=0 d=6.69045e-09 t=16526
ni hui yan 	泥灰岩	c=0 d=6.65708e-09 t=16526
ni hui yan ou he gen 	泥灰岩耦合跟	c=1 d=6.69045e-08 t=16526
ni hui yong 	你会用	c=1 d=6.72398e-08 t=16526
ni jiu 	你就	c=3 d=0.168638 t=16526
ni ju ran 	你居然	c=1 d=5.03302e-12 t=16526
ni jue de 	你觉得	c=1 d=0.357007 t=16526
ni kan 	你看	c=2 d=0.00946646 t=16526
ni kan kan 	你看看	c=2 d=0.0378195 t=16526
ni kan kan shi bu shi 	你看看是不是	c=1 d=0.00111936 t=16526
ni kan xia 	你看下	c=2 d=0.332871 t=16526
ni kan zhe 	你看着	c=1 d=0.442639 t=16526
ni kang zhe 	你扛着	c=1 d=0.00191125 t=16526
ni ke yi 	你可以	c=1 d=1.39504e-05 t=16526
ni kun le 	你困了	c=1 d=0.000160054 t=16526
ni lai 	你来	c=2 d=0.941765 t=16526
ni lia 	你俩	c=2 d=0.99005 t=16526
ni ma 	你妈	c=1 d=0.000163287 t=16526
ni mei 	你妹	c=1 d=0.268474 t=16526
ni mei 	你没	c=2 d=0.0778801 t=16526
ni mei kan 	你没看	c=1 d=0.782705 t=16526
ni mei shi 	你没是	c=1 d=2.73377e-08 t=16526
ni men 	你们	c=5 d=0.210212 t=16526
ni ming 	匿名	c=1 d=1.88863e-10 t=16526
ni na 	你那	c=3 d=0.016329 t=16526
ni na bian 	你那边	c=2 d=9.61117e-05 t=16526
ni neng 	你能	c=3 d=0.112289 t=16526
ni pei ma 	你配吗	c=1 d=0.053397 t=16526
ni qu 	你去	c=0 d=0.0167797 t=16526
ni qu le 	你去了	c=1 d=0.168638 t=16526
ni rang 	你让	c=1 d=1.9559e-10 t=16526
ni shi 	你是	c=12 d=0.860708 t=16526
ni shi shi 	你试试	c=2 d=0.230063 t=16526
ni shi shuo 	你是说	c=1 d=0.000845993 t=16526
ni shuo 	你说	c=4 d=0.83595 t=16526
ni shuo de 	你说的	c=1 d=0.650509 t=16526
ni sui bian shuo 	你随便说	c=1 d=0.000367055 t=16526
ni tai 	你太	c=0 d=0.0394554 t=16526
ni tai cai 	你太菜	c=1 d=0.396531 t=16526
ni wang le 	你忘了	c=1 d=5.15868e-08 t=16526
ni wei shen me 	你为什么	c=1 d=6.91087e-07 t=16526
ni wen wen 	你问问	c=4 d=0.0031321 t=16526
ni wen xia 	你问下	c=1 d=0.00869506 t=16526
ni xi le 	你洗了	c=1 d=0.035437 t=16526
ni xian 	你先	c=2 d=0.0946485 t=16526
ni xian gei wo 	你先给我	c=1 d=0.951229 t=16526
ni xian shui 	你先睡	c=1 d=1.26642e-14 t=16526
ni xian zai 	你现在	c=2 d=0.00670434 t=16526
ni xiang 	你想	c=2 d=0.0098528 t=16526
ni xiang lai 	你向来	c=1 d=0.29523 t=16526
ni xie 	你写	c=1 d=3.98858e-11 t=16526
ni xuan 	你选	c=1 d=0.00644146 t=16526
ni yao 	你要	c=5 d=0.869358 t=16526
ni yao xiang 	你要想	c=1 d=0.451581 t=16526
ni yao yong 	你要用	c=1 d=0.000385874 t=16526
ni ye 	你也	c=4 d=0.00486835 t=16526
ni ye shi 	你也是	c=1 d=0.000757869 t=16526
ni yi 	你一	c=0 d=0.0315058 t=16526
ni yi ju 	你一句	c=1 d=0.316637 t=16526
ni yi zhi 	你一致	c=1 d=0.45612 t=16526
ni yong 	你用	c=2 d=0.0392422 t=16526
ni you 	你有	c=1 d=0.357007 t=16526
ni you ma 	你有吗	c=1 d=0.0227089 t=16526
ni you sha 	你有啥	c=1 d=0.147342 t=16526
ni za 	你咋	c=2 d=0.122021 t=16526
ni za shuo 	你杂说	c=1 d=0.65377 t=16526
ni zai 	你在	c=4 d=0.865022 t=16526
ni zen me 	你怎么	c=2 d=0.355226 t=16526
ni zhe 	你这	c=4 d=0.0923764 t=16526
ni zhi dao ma 	你知道吗	c=1 d=0.000608204 t=16526
ni zi ji 	你自己	c=4 d=0.0209368 t=16526
ni zuo ge 	你做个	c=1 d=0.000231716 t=16526
nian 	年	c=10 d=0.944781 t=16526
nian ban 	年半	c=0 d=2.8596e-09 t=16526
nian di 	年底	c=1 d=0.66365 t=16526
nian du 	年度	c=3 d=1.14067e-10 t=16526
nian fu 	年付	c=2 d=2.61524e-08 t=16526
nian hui 	年会	c=4 d=0.0118551 t=16526
nian jia 	年假	c=1 d=0.960789 t=16526
nian qi 	年期	c=0 d=3.28194e-12 t=16526
nian qi na 	年期那	c=1 d=3.2984e-11 t=16526
nian qian 	年前	c=1 d=0.900325 t=16526
nian qing 	年轻	c=1 d=0.071719 t=16526
nian yue ri 	年月日	c=2 d=0.897898 t=16526
nian zhong 	年中	c=1 d=4.38384e-05 t=16526
nian zhong jiang 	年终奖	c=3 d=0.000293808 t=16526
nian zhong jiang ang 	年终奖昂	c=1 d=0.0029528 t=16526
nin 	您	c=10 d=0.0442135 t=16526
niu 	牛	c=6 d=0.740818 t=16526
niu bi 	牛逼	c=7 d=0.268474 t=16526
niu zi jian 	牛自建	c=1 d=0.00408677 t=16526
nong 	弄	c=7 d=1.8931 t=16526
nong bu hao 	弄不好	c=1 d=0.000170803 t=16526
nong ge 	弄个	c=1 d=0.579842 t=16526
nong guo 	弄过	c=1 d=0.0144164 t=16526
nong guo guo 	弄过过	c=1 d=0.0731678 t=16526
nong guo yi ci 	弄过一次	c=1 d=0.071719 t=16526
nong hao 	弄好	c=1 d=0.000299743 t=16526
nong hao le 	弄好了	c=1 d=0.00301245 t=16526
nong le 	弄了	c=1 d=0.0397558 t=16526
nong min 	农民	c=1 d=0.00185476 t=16526
nong sha 	弄啥	c=1 d=0.112478 t=16526
nong xia 	弄下	c=1 d=0.524663 t=16526
nv 	女	c=7 d=1.57661 t=16526
nv de 	女的	c=2 d=0.000172525 t=16526
nv ren 	女人	c=1 d=0.00653881 t=16526
nv zhuang 	女装	c=1 d=0.0361528 t=16526
o 	哦	c=5 d=1.8734 t=16526
o o 	哦哦	c=1 d=0.421052 t=16526
ou er 	偶尔	c=1 d=0.0547488 t=16526
ou guan 	欧冠	c=0 d=6.29868e-05 t=16526
ou he 	耦合	c=0 d=6.65708e-09 t=16526
ou mei 	欧美	c=1 d=6.67545e-11 t=16526
ou tong 	欧通	c=0 d=0.00780817 t=16526
pa 	怕	c=2 d=0.478342 t=16526
pa 	爬	c=1 d=0.0107807 t=16526
pa 	趴	c=1 d=0.000992781 t=16526
pa guo 	爬过	c=2 d=0.0150436 t=16526
pa ni 	怕你	c=1 d=0.00236968 t=16526
pa qu 	爬取	c=1 d=0.0116786 t=16526
pai 	拍	c=2 d=0.22091 t=16526
pai cha 	排查	c=4 d=0.400456 t=16526
pai shi pin 	拍视频	c=1 d=0.161218 t=16526
pai xu 	排序	c=2 d=0.0642483 t=16526
pai zi 	牌子	c=1 d=1.23792e-11 t=16526
pan 	盘	c=1 d=0.000210716 t=16526
pan duan 	判断	c=2 d=0.164474 t=16526
pang 	胖	c=1 d=0.346456 t=16526
pang bian 	旁边	c=1 d=0.0953692 t=16526
pao 	泡	c=3 d=0.243124 t=16526
pao 	跑	c=3 d=0.0443298 t=16526
pao bu 	跑步	c=1 d=0.156453 t=16526
pao bu qi lai 	跑不起来	c=1 d=0.00200924 t=16526
pao chu 	抛出	c=5 d=0.0647967 t=16526
pao dan 	跑单	c=1 d=0.143704 t=16526
pao dian 	跑电	c=1 d=0.118837 t=16526
pao gei 	抛给	c=1 d=0.0735345 t=16526
pei 	配	c=2 d=4.39772e-05 t=16526
pei 	陪	c=1 d=4.17146e-09 t=16526
pei he 	配合	c=1 d=9.51715e-07 t=16526
pei le 	赔了	c=1 d=0.40657 t=16526
pei le 	配了	c=1 d=0.000238772 t=16526
pei ma 	配吗	c=0 d=0.00531307 t=16526
pei ni 	陪你	c=1 d=3.52722e-06 t=16526
pei se 	配色	c=1 d=3.0754e-11 t=16526
pei song 	配送	c=1 d=0.358796 t=16526
pei zhi 	配置	c=55 d=1.48864 t=16526
pei zi 	胚子	c=1 d=0.65377 t=16526
peng 	鹏	c=1 d=7.64159e-13 t=16526
peng dao 	碰到	c=1 d=0.00218749 t=16526
peng you 	朋友	c=1 d=1.3545e-11 t=16526
pi 	屁	c=2 d=0.67368 t=16526
pi 	皮	c=2 d=0.00166156 t=16526
pi cao 	皮草	c=1 d=0.00146632 t=16526
pi gu 	屁股	c=1 d=0.191092 t=16526
pi lao 	疲劳	c=1 d=0.000258659 t=16526
pi pei 	匹配	c=3 d=0.66034 t=16526
pian 	偏	c=1 d=0.344728 t=16526
pian 	片	c=1 d=0.0026852 t=16526
pian duan 	片段	c=1 d=0.0930145 t=16526
pian wei qu 	片尾曲	c=1 d=0.0426384 t=16526
pian yi 	便宜	c=3 d=0.092089 t=16526
piao 	票	c=3 d=1.58017 t=16526
pin 	品	c=1 d=0.756415 t=16526
pin 	拼	c=1 d=0.00891518 t=16526
pin duo duo 	拼多多	c=2 d=0.0211736 t=16526
pin fan 	频繁	c=1 d=0.0430669 t=16526
pin jie 	拼接	c=1 d=0.00381048 t=16526
pin xing 	品行	c=0 d=0.00136366 t=16526
pin xing e lie 	品行恶劣	c=1 d=0.0137049 t=16526
pin yin 	拼音	c=2 d=0.00400245 t=16526
pin ying 	品应	c=1 d=0.000133688 t=16526
ping 	平	c=1 d=0.00522406 t=16526
ping bi 	屏蔽	c=3 d=7.67467e-05 t=16526
ping ge 	平哥	c=3 d=0.00112253 t=16526
ping gu 	评估	c=1 d=0.000153011 t=16526
ping guo 	苹果	c=1 d=0.0397558 t=16526
ping heng 	平衡	c=1 d=8.15063e-07 t=16526
ping lu 	平陆	c=1 d=0.0550232 t=16526
ping lun 	评论	c=3 d=1.48429 t=16526
ping mu 	屏幕	c=6 d=0.125609 t=16526
ping shi 	平时	c=7 d=0.536722 t=16526
ping tai 	平台	c=3 d=0.251579 t=16526
po 	破	c=2 d=0.000280202 t=16526
po jie 	破解	c=3 d=0.900676 t=16526
po li 	魄力	c=2 d=0.210136 t=16526
pu tong 	普通	c=4 d=0.164929 t=16526
pu tong ren 	普通人	c=1 d=0.0107807 t=16526
qi 	器	c=3 d=0.331211 t=16526
qi 	戚	c=1 d=0.329559 t=16526
qi 	起	c=2 d=0.657047 t=16526
qi 	骑	c=3 d=0.179964 t=16526
qi bu lai 	起不来	c=1 d=8.67852e-10 t=16526
qi che 	汽车	c=5 d=0.609669 t=16526
qi che 	骑车	c=1 d=0.548812 t=16526
qi dong 	启动	c=7 d=0.268552 t=16526
qi guo lai 	骑过来	c=1 d=0.189191 t=16526
qi guo qu 	骑过去	c=1 d=2.1717e-06 t=16526
qi lai 	起来	c=4 d=0.300936 t=16526
qi le 	起了	c=0 d=0.000923273 t=16526
qi le ma 	起了吗	c=1 d=0.00927901 t=16526
qi ma 	起码	c=1 d=0.412714 t=16526
qi na 	起纳	c=0 d=1.3821e-14 t=16526
qi pa 	奇葩	c=1 d=0.0505395 t=16526
qi shi 	其实	c=7 d=0.332871 t=16526
qi shi zhi 	起始值	c=1 d=0.0350844 t=16526
qi si 	气死	c=1 d=0.000280202 t=16526
qi ta 	其他	c=30 d=1.05991 t=16526
qi ye 	企业	c=1 d=0.000385874 t=16526
qi yi 	歧义	c=1 d=0.000218221 t=16526
qi yong 	启用	c=1 d=2.43091e-09 t=16526
qia 	掐	c=1 d=1.85634e-13 t=16526
qian 	前	c=4 d=0.00276535 t=16526
qian 	签	c=1 d=1.37807e-08 t=16526
qian 	钱	c=12 d=1.21593 t=16526
qian dao 	签到	c=2 d=0.278037 t=16526
qian duan 	前端	c=16 d=0.970446 t=16526
qian hou tai 	前后台	c=1 d=0.00125578 t=16526
qian ji nian 	前几年	c=1 d=7.52526e-09 t=16526
qian ji tian 	前几天	c=2 d=0.0273333 t=16526
qian liang tian 	前两天	c=2 d=0.00423234 t=16526
qian ming 	签名	c=1 d=0.65377 t=16526
qian tai 	前台	c=1 d=0.0566989 t=16526
qian ti 	前提	c=1 d=3.22583e-14 t=16526
qian yi tian 	前一天	c=1 d=0.00166156 t=16526
qiang 	墙	c=2 d=0.34354 t=16526
qiang 	抢	c=4 d=0.650509 t=16526
qiang 	枪	c=1 d=5.3762e-05 t=16526
qiang dao 	抢到	c=2 d=0.283654 t=16526
qiang dao le 	抢到了	c=1 d=0.522046 t=16526
qiang de dao 	抢得到	c=1 d=3.0057e-06 t=16526
qiang le 	抢了	c=1 d=0.0118551 t=16526
qiang zhi 	强制	c=2 d=0.612626 t=16526
qiao da 	敲打	c=2 d=4.09221e-11 t=16526
qie 	切	c=1 d=0.551563 t=16526
qie huan 	切换	c=6 d=0.362402 t=16526
qin 	亲	c=1 d=0.0051953 t=16526
qin huang dao 	秦皇岛	c=1 d=8.23815e-15 t=16526
qin kuai 	勤快	c=1 d=7.28772e-14 t=16526
qin qi 	亲戚	c=1 d=5.01747e-05 t=16526
qin shou 	亲手	c=1 d=0.000833397 t=16526
qing 	清	c=2 d=0.0447831 t=16526
qing 	请	c=7 d=0.342073 t=16526
qing cai 	青菜	c=1 d=0.00161245 t=16526
qing chu 	清楚	c=6 d=0.840763 t=16526
qing chu 	清除	c=2 d=1.39504e-05 t=16526
qing dan 	清单	c=1 d=0.0812682 t=16526
qing hua 	清华	c=1 d=0.117655 t=16526
qing jia 	请假	c=4 d=0.951229 t=16526
qing kong 	清空	c=4 d=1.04597 t=16526
qing kong liu lan qi 	清空浏览器	c=1 d=0.000232877 t=16526
qing kuang 	情况	c=6 d=0.636868 t=16526
qing le 	清了	c=2 d=0.0265803 t=16526
qing le ma 	清了吗	c=1 d=0.267135 t=16526
qing li 	清理	c=4 d=0.786628 t=16526
qing liang 	轻量	c=1 d=0.00131358 t=16526
qing long 	青龙	c=4 d=2.25968e-11 t=16526
qing qiu 	请求	c=8 d=0.987291 t=16526
qing qiu tou 	请求头	c=2 d=0.0651189 t=16526
qing ren 	情人	c=1 d=0.0057417 t=16526
qing ren jie 	情人节	c=1 d=9.8307e-06 t=16526
